# Frame Contacts1 Contacts2
0 5 53
1 10 51
2 9 47
3 2 35
4 0 39
5 2 38
6 5 49
7 0 49
8 0 44
9 0 49
10 0 32
11 0 41
12 0 33
13 0 31
14 0 23
15 1 55
16 0 50
17 0 52
18 0 50
19 3 62
20 0 55
21 1 49
22 0 54
23 0 45
24 0 47
25 0 57
26 0 51
27 2 52
28 8 46
29 7 57
30 8 68
31 4 60
32 6 63
33 2 46
34 7 47
35 4 50
36 5 47
37 7 47
38 2 49
39 0 55
40 1 50
41 0 43
42 14 67
43 15 54
44 4 66
45 2 73
46 0 62
47 6 60
48 2 64
49 5 62
50 4 54
51 1 63
52 2 53
53 3 44
54 2 55
55 4 45
56 5 24
57 0 46
58 3 50
59 8 33
60 0 41
61 6 46
62 7 51
63 2 53
64 6 54
65 10 47
66 5 44
67 0 47
68 4 49
69 6 36
70 5 30
71 4 41
72 5 44
73 4 42
74 2 35
75 5 31
76 8 35
77 5 38
78 5 38
79 8 63
80 6 38
81 2 47
82 4 57
83 4 61
84 1 60
85 3 63
86 5 56
87 0 57
88 14 65
89 6 55
90 11 59
91 10 53
92 7 53
93 3 50
94 1 55
95 3 50
96 3 51
97 0 61
98 6 55
99 9 54
100 12 46
101 5 50
102 2 59
103 5 59
104 0 63
105 5 48
106 2 48
107 1 59
108 10 50
109 1 58
110 11 72
111 7 63
112 7 83
113 7 67
114 7 76
115 9 72
116 10 62
117 13 54
118 5 66
119 9 83
120 6 70
121 3 68
122 10 67
123 9 71
124 10 54
125 11 71
126 7 60
127 11 74
128 12 79
129 8 79
130 13 76
131 6 88
132 14 70
133 9 57
134 7 48
135 9 38
136 9 52
137 16 52
138 15 66
139 17 56
140 6 68
141 6 69
142 7 65
143 11 57
144 5 77
145 10 66
146 7 62
147 5 71
148 7 77
149 10 75
150 6 73
151 9 72
152 1 71
153 19 75
154 8 70
155 10 63
156 12 75
157 12 99
158 12 102
159 13 79
160 10 69
161 11 75
162 8 58
163 11 81
164 8 79
165 12 64
166 10 62
167 7 71
168 7 81
169 7 64
170 6 73
171 4 61
172 6 68
173 9 60
174 13 76
175 4 62
176 4 53
177 4 58
178 10 63
179 1 77
180 7 62
181 2 71
182 5 80
183 5 81
184 3 76
185 14 72
186 5 77
187 3 72
188 7 81
189 7 80
190 4 58
191 0 80
192 3 70
193 0 57
194 0 76
195 1 75
196 0 81
197 1 79
198 0 54
199 3 81
200 5 81
201 4 72
202 6 73
203 16 61
204 6 78
205 6 65
206 3 71
207 9 71
208 6 61
209 20 56
210 30 70
211 17 70
212 9 54
213 9 80
214 6 75
215 18 73
216 27 82
217 14 80
218 15 70
219 16 75
220 14 77
221 9 54
222 8 70
223 10 69
224 15 68
225 10 60
226 16 56
227 25 54
228 11 38
229 21 62
230 21 71
231 11 59
232 20 64
233 17 51
234 16 41
235 12 35
236 14 33
237 20 52
238 16 49
239 15 45
240 18 51
241 17 44
242 20 52
243 25 69
244 18 47
245 26 43
246 22 44
247 21 48
248 20 58
249 13 52
250 18 50
251 18 66
252 17 39
253 19 52
254 17 48
255 20 59
256 20 47
257 35 45
258 16 63
259 22 64
260 18 52
261 16 62
262 18 66
263 21 62
264 21 65
265 12 77
266 31 69
267 19 64
268 18 63
269 23 52
270 19 53
271 9 60
272 24 53
273 19 42
274 19 50
275 15 56
276 38 57
277 14 67
278 24 61
279 15 57
280 14 52
281 16 58
282 14 53
283 18 47
284 18 43
285 12 50
286 21 56
287 25 63
288 22 59
289 18 62
290 16 64
291 12 61
292 17 65
293 28 54
294 22 55
295 27 52
296 23 61
297 20 63
298 18 46
299 28 58
300 14 68
301 17 69
302 21 54
303 31 54
304 21 44
305 22 40
306 17 9
307 17 10
308 10 4
309 17 11
310 20 13
311 10 10
312 17 10
313 22 8
314 17 11
315 14 12
316 22 12
317 17 19
318 22 14
319 21 7
320 20 12
321 21 17
322 14 11
323 19 8
324 20 6
325 15 12
326 24 9
327 17 18
328 27 27
329 15 22
330 17 19
331 22 16
332 16 16
333 17 27
334 19 27
335 18 15
336 21 20
337 19 29
338 21 22
339 23 13
340 29 20
341 21 18
342 18 15
343 23 16
344 15 18
345 13 11
346 20 9
347 15 5
348 12 12
349 15 12
350 19 9
351 13 16
352 25 15
353 17 14
354 19 16
355 19 16
356 21 17
357 22 12
358 17 12
359 14 7
360 6 15
361 20 7
362 34 6
363 37 1
364 35 6
365 36 5
366 41 9
