# Frame C-Contacts All-Contacts
0 63 328
10 71 318
20 47 279
30 53 326
40 86 366
50 84 360
60 104 381
70 73 358
80 78 348
90 78 309
100 50 289
110 65 312
120 65 299
130 66 315
140 64 311
150 82 357
160 77 340
170 62 344
180 64 314
190 62 302
200 48 308
210 65 325
220 72 302
230 54 297
240 24 254
250 40 301
260 33 320
270 33 291
280 42 308
290 20 240
300 31 246
310 11 265
320 53 336
330 20 269
340 13 234
350 27 277
360 26 292
370 31 285
380 34 281
390 40 250
400 21 263
410 21 252
420 32 308
430 9 284
440 28 251
450 28 293
460 28 288
470 22 300
480 14 301
490 40 310
500 50 310
510 62 362
520 83 402
530 84 372
540 81 398
550 98 400
560 107 381
570 77 403
580 89 379
590 88 344
600 99 347
610 97 391
620 114 404
630 116 402
640 101 366
650 106 371
660 84 355
670 72 357
680 88 340
690 88 350
700 98 372
710 72 368
720 68 395
730 72 318
740 56 325
750 77 320
760 58 351
770 91 377
780 74 336
790 98 385
800 82 365
810 69 331
820 55 317
830 30 326
840 24 281
850 38 337
860 18 317
870 22 289
880 17 292
890 11 304
900 12 295
910 10 321
920 12 306
930 13 332
940 12 319
950 14 282
960 25 337
970 19 336
980 22 285
990 19 297
1000 31 339
1010 40 341
1020 23 277
1030 43 345
1040 47 319
1050 25 320
1060 17 281
1070 25 298
1080 32 335
1090 33 273
1100 32 314
1110 19 251
1120 16 236
1130 25 287
1140 27 308
1150 20 270
1160 33 306
1170 38 323
1180 69 321
1190 29 324
1200 46 338
1210 50 319
1220 47 347
1230 50 356
1240 33 329
1250 35 309
1260 52 349
1270 37 316
1280 41 332
1290 38 286
1300 42 305
1310 48 335
1320 40 332
1330 43 359
1340 44 318
1350 60 332
1360 53 299
1370 56 329
1380 49 330
1390 89 371
1400 74 347
1410 98 370
1420 51 323
1430 56 336
1440 64 350
1450 44 335
1460 48 339
1470 41 349
1480 47 315
1490 66 335
1500 45 325
1510 38 348
1520 33 312
1530 59 336
1540 52 349
1550 38 298
1560 44 353
1570 44 335
1580 58 341
1590 52 331
1600 58 329
1610 52 364
1620 55 330
1630 41 335
1640 38 318
1650 54 296
1660 48 320
1670 57 325
1680 45 317
1690 54 307
1700 37 302
1710 61 343
1720 39 286
1730 49 294
1740 40 279
1750 51 343
1760 40 323
1770 40 311
1780 39 300
1790 42 301
1800 50 321
1810 46 324
1820 55 308
1830 61 326
1840 42 303
1850 55 343
1860 62 361
1870 63 364
1880 35 348
1890 25 343
1900 25 308
1910 29 319
1920 16 340
1930 30 297
1940 25 313
1950 24 319
1960 39 317
1970 36 314
1980 26 344
1990 53 328
2000 37 331
2010 46 405
2020 35 318
2030 31 325
2040 18 285
2050 48 305
2060 42 331
2070 40 285
2080 53 346
2090 53 331
2100 48 341
2110 46 282
2120 39 302
2130 41 309
2140 48 330
2150 29 305
2160 21 274
2170 39 303
2180 20 281
2190 28 321
2200 21 292
2210 27 289
2220 20 288
2230 21 279
2240 9 269
2250 17 286
2260 11 388
2270 10 307
2280 14 297
2290 9 299
2300 9 322
2310 33 308
2320 32 322
2330 48 353
2340 45 363
2350 51 370
2360 25 308
2370 52 351
2380 43 325
2390 21 297
2400 32 319
2410 45 342
2420 47 301
2430 36 289
2440 51 337
2450 40 326
2460 41 284
2470 43 287
2480 59 353
2490 63 377
2500 53 366
2510 45 350
2520 51 312
2530 45 309
2540 47 322
2550 34 314
2560 26 274
2570 37 312
2580 43 278
2590 35 270
2600 61 315
2610 55 318
2620 51 308
2630 46 305
2640 45 307
2650 46 356
2660 36 310
2670 54 321
2680 40 331
2690 38 322
