# Frame C-Contacts All-Contacts
0 86 433
10 105 451
20 91 435
30 96 400
40 109 411
50 94 405
60 89 414
70 84 404
80 93 396
90 95 399
100 128 456
110 102 416
120 137 449
130 120 429
140 121 426
150 108 425
160 118 430
170 92 447
180 110 442
190 87 417
200 91 393
210 110 404
220 113 410
230 98 418
240 104 405
250 79 400
260 95 432
270 109 474
280 108 430
290 94 409
300 99 386
310 99 371
320 121 415
330 99 382
340 101 447
350 108 424
360 118 396
370 109 419
380 83 403
390 116 450
400 101 492
410 106 436
420 92 387
430 109 461
440 109 428
450 79 407
460 87 412
470 93 421
480 55 410
490 60 390
500 62 414
510 48 356
520 77 368
530 64 396
540 65 399
550 46 351
560 66 346
570 58 406
580 56 367
590 69 358
600 83 318
610 53 314
620 51 328
630 75 365
640 48 272
650 88 346
660 60 324
670 59 327
680 77 337
690 55 350
700 60 344
710 58 372
720 54 350
730 106 366
740 71 395
750 87 355
760 77 411
770 85 379
780 90 339
790 87 372
800 100 412
810 97 386
820 79 353
830 73 368
840 89 412
850 99 422
860 87 390
870 84 374
880 93 426
890 106 432
900 69 390
910 77 379
920 120 435
930 104 401
940 92 424
950 110 424
960 107 423
970 111 410
980 138 435
990 105 422
1000 97 423
1010 96 424
1020 91 388
1030 101 437
1040 108 452
1050 97 420
1060 86 380
1070 106 390
1080 83 382
1090 90 409
1100 92 417
1110 113 433
1120 77 416
1130 123 472
1140 89 427
1150 114 450
1160 107 437
1170 93 429
1180 94 399
1190 85 425
1200 86 393
1210 95 421
1220 73 396
1230 114 453
1240 80 408
1250 123 432
1260 147 456
1270 156 453
1280 133 460
1290 131 457
1300 123 438
1310 113 443
1320 95 423
1330 124 439
1340 181 473
1350 163 510
1360 173 480
1370 172 495
1380 190 531
1390 152 484
1400 160 492
1410 159 484
1420 162 533
1430 167 518
1440 156 496
1450 153 476
1460 171 511
1470 112 430
1480 116 427
1490 106 443
1500 116 406
1510 116 415
1520 107 440
1530 102 392
1540 111 449
1550 117 421
1560 115 426
1570 142 436
1580 102 430
1590 130 481
1600 118 416
1610 107 445
1620 123 437
1630 117 435
1640 97 433
1650 108 479
1660 116 462
1670 114 416
1680 118 497
1690 106 430
1700 133 515
1710 113 456
1720 110 420
1730 116 463
1740 104 441
1750 106 403
1760 114 425
1770 87 416
1780 115 446
1790 131 449
1800 100 475
1810 96 462
1820 107 444
1830 98 469
1840 119 459
1850 106 436
1860 75 421
1870 86 452
1880 63 380
1890 88 428
1900 78 450
1910 112 451
1920 103 427
1930 94 411
1940 76 387
1950 99 429
1960 88 410
1970 69 402
1980 37 389
1990 36 373
2000 48 383
2010 44 395
2020 48 428
2030 36 367
2040 60 405
2050 41 372
2060 32 390
2070 47 366
2080 46 398
2090 40 378
2100 40 381
2110 48 394
2120 74 413
2130 73 432
2140 76 405
2150 38 386
2160 68 405
2170 52 409
2180 98 406
2190 85 423
2200 103 418
2210 72 402
2220 98 466
2230 86 417
2240 97 424
2250 75 405
2260 87 415
2270 122 465
2280 73 408
2290 83 401
2300 69 396
2310 99 428
2320 83 426
2330 69 406
2340 86 389
2350 124 480
2360 70 409
2370 98 442
2380 75 434
2390 78 427
2400 86 429
2410 105 449
2420 72 413
2430 71 403
2440 87 388
2450 115 459
2460 112 489
2470 77 428
2480 67 375
2490 78 347
2500 72 394
2510 59 421
2520 69 369
2530 84 424
2540 85 408
2550 56 401
2560 45 370
2570 49 389
2580 41 307
2590 39 367
2600 63 358
2610 79 389
2620 54 398
2630 55 396
2640 80 406
2650 78 399
2660 78 390
2670 72 409
2680 81 430
2690 100 433
2700 76 434
2710 94 428
2720 77 386
2730 82 433
2740 66 374
2750 67 360
2760 86 417
2770 86 460
2780 86 461
2790 70 397
2800 89 442
2810 94 422
2820 84 386
2830 67 383
2840 76 411
2850 85 384
2860 87 401
2870 95 419
2880 89 398
2890 92 420
2900 71 386
2910 83 397
2920 73 372
2930 86 423
2940 81 412
2950 94 407
2960 68 367
2970 85 374
2980 64 366
2990 67 359
3000 73 357
3010 59 334
3020 83 369
3030 74 387
3040 91 381
3050 91 394
3060 85 431
3070 82 428
3080 87 391
3090 86 417
3100 100 408
3110 80 409
3120 80 434
3130 97 466
3140 93 429
3150 76 410
3160 93 392
3170 91 421
3180 74 435
3190 74 405
3200 61 445
3210 93 439
3220 57 363
3230 73 405
3240 67 410
3250 78 390
3260 67 418
3270 71 415
3280 77 437
3290 70 398
3300 87 401
3310 73 411
3320 50 324
3330 56 387
3340 68 375
3350 72 443
3360 41 382
3370 53 335
3380 58 357
3390 50 375
3400 43 354
3410 58 363
3420 42 332
3430 45 366
3440 59 322
3450 51 362
3460 89 399
3470 61 381
3480 59 373
3490 80 390
3500 80 407
3510 79 402
3520 78 360
3530 75 367
3540 75 369
3550 67 355
3560 76 380
3570 68 352
3580 74 371
3590 80 418
3600 61 389
3610 69 409
3620 68 404
3630 53 388
3640 56 370
3650 64 385
3660 56 372
3670 75 386
3680 71 432
3690 59 402
3700 70 377
3710 65 395
3720 57 354
3730 66 360
3740 56 383
3750 72 393
3760 55 372
3770 82 405
3780 83 382
3790 35 382
3800 23 364
3810 38 388
3820 28 381
3830 45 365
3840 34 357
3850 35 383
3860 30 368
3870 42 386
3880 45 401
3890 56 392
3900 58 355
3910 53 378
3920 54 370
3930 62 407
3940 59 374
3950 60 334
3960 62 368
3970 54 388
3980 66 389
3990 47 357
4000 56 399
4010 56 377
4020 55 352
4030 39 353
4040 47 361
4050 46 386
4060 44 330
4070 43 367
4080 37 359
4090 62 380
4100 64 348
4110 32 326
4120 63 357
4130 52 363
4140 48 333
4150 33 359
4160 49 366
4170 52 337
4180 62 389
4190 60 376
4200 57 331
4210 56 366
4220 83 424
4230 62 345
4240 65 369
4250 56 381
4260 65 388
4270 52 349
4280 65 381
4290 78 364
4300 42 354
4310 66 405
4320 74 382
4330 71 406
4340 62 380
4350 42 332
4360 48 356
4370 44 358
4380 47 310
4390 43 361
4400 47 370
4410 47 332
4420 52 345
4430 45 368
4440 51 365
4450 35 344
4460 35 320
4470 49 357
4480 46 319
4490 58 371
4500 52 363
4510 53 358
4520 48 370
4530 54 393
4540 40 342
4550 47 347
4560 57 360
4570 35 302
4580 33 361
4590 36 338
4600 25 310
4610 36 349
4620 41 334
4630 36 336
4640 33 320
4650 49 392
4660 45 331
4670 45 333
4680 39 319
4690 43 366
4700 34 350
4710 36 323
4720 35 342
4730 37 330
4740 30 342
4750 35 334
4760 30 303
4770 35 318
4780 40 315
4790 36 331
4800 35 331
4810 31 310
4820 33 332
4830 29 327
4840 35 323
4850 35 332
4860 37 375
4870 36 321
4880 57 371
4890 52 405
4900 40 365
4910 34 364
4920 39 373
4930 39 350
4940 39 346
4950 42 380
4960 40 310
4970 45 322
4980 36 309
4990 28 333
5000 31 342
5010 30 379
5020 30 358
5030 37 343
5040 33 299
5050 28 343
5060 24 308
5070 16 291
5080 22 292
5090 23 295
5100 38 319
5110 44 292
5120 52 365
5130 38 354
5140 40 355
5150 38 365
5160 28 309
5170 30 325
5180 21 291
5190 37 334
5200 12 315
5210 20 322
5220 35 325
5230 32 307
5240 28 330
5250 35 312
5260 18 323
5270 20 325
5280 27 358
5290 20 332
5300 17 327
5310 19 294
5320 8 328
5330 22 331
5340 28 349
5350 18 318
5360 20 344
5370 59 346
5380 61 362
5390 67 380
5400 57 344
5410 54 384
5420 67 379
5430 62 393
5440 62 379
5450 51 392
5460 39 353
5470 41 344
5480 55 365
5490 34 369
5500 24 336
5510 35 337
5520 42 346
5530 33 324
5540 27 355
5550 35 358
5560 21 302
5570 33 334
5580 42 333
5590 19 334
5600 49 392
5610 43 331
5620 38 319
5630 39 307
5640 10 316
5650 6 308
5660 11 298
5670 21 319
5680 22 310
5690 20 349
5700 23 318
5710 26 330
5720 17 327
5730 24 333
5740 19 311
5750 25 344
5760 23 354
5770 21 317
5780 18 304
5790 18 321
5800 14 321
5810 12 291
5820 18 332
5830 18 341
5840 24 335
5850 18 321
5860 18 297
5870 22 313
5880 21 343
5890 22 346
5900 28 296
5910 21 294
5920 18 331
5930 26 319
5940 38 334
5950 28 354
5960 18 348
5970 45 381
5980 32 326
5990 29 385
6000 15 337
6010 21 350
6020 20 329
6030 20 321
6040 23 319
6050 22 361
6060 14 318
6070 13 343
6080 19 344
6090 28 343
6100 28 326
6110 37 358
6120 24 361
6130 21 362
6140 27 379
6150 15 367
6160 19 328
6170 21 335
6180 19 352
6190 28 361
6200 24 328
6210 22 290
6220 25 352
6230 17 332
6240 9 325
6250 32 341
6260 17 317
6270 32 352
6280 17 350
6290 26 333
6300 23 302
6310 17 326
6320 31 331
6330 43 334
6340 49 347
6350 43 364
6360 27 314
6370 32 342
6380 37 357
6390 44 377
6400 28 306
6410 29 348
6420 30 315
6430 28 336
6440 29 314
6450 30 308
6460 31 354
6470 38 326
6480 41 310
6490 27 334
6500 39 328
6510 32 317
6520 32 324
6530 52 321
6540 39 311
6550 29 295
6560 42 322
6570 32 339
6580 23 307
6590 12 310
6600 10 293
6610 15 305
6620 29 293
6630 26 322
6640 25 300
6650 19 325
6660 23 324
6670 20 320
6680 17 299
6690 13 322
6700 22 287
6710 15 337
6720 27 349
6730 24 316
6740 34 311
6750 20 327
6760 17 320
6770 30 315
6780 22 327
6790 19 323
6800 29 341
6810 30 330
6820 17 318
6830 15 314
6840 19 329
6850 12 307
6860 14 316
6870 16 301
6880 16 339
6890 35 311
6900 29 332
6910 27 302
6920 28 304
6930 31 321
6940 22 273
6950 16 301
6960 16 333
6970 21 303
6980 27 317
6990 23 320
7000 24 343
7010 18 302
7020 31 326
7030 31 344
7040 31 360
7050 20 317
7060 25 331
7070 28 318
7080 19 328
7090 23 338
7100 33 346
7110 12 285
7120 27 366
7130 24 317
7140 27 302
7150 31 324
7160 36 339
7170 33 358
7180 52 337
7190 29 362
7200 36 357
7210 45 345
7220 26 317
7230 29 329
7240 38 311
7250 25 334
7260 26 353
7270 29 320
7280 32 316
7290 24 335
7300 22 366
7310 33 385
7320 28 333
7330 30 361
7340 21 339
7350 30 363
7360 31 325
7370 27 336
7380 43 350
7390 52 352
7400 23 298
7410 20 343
7420 29 345
7430 24 349
7440 30 301
7450 32 338
7460 28 308
7470 22 305
7480 30 306
7490 10 320
7500 27 316
7510 14 296
7520 27 304
7530 25 325
7540 20 305
7550 28 348
7560 37 327
7570 34 341
7580 24 306
7590 19 321
7600 24 352
7610 34 356
7620 39 362
7630 29 350
7640 36 338
7650 34 375
7660 43 335
7670 44 307
7680 48 305
7690 44 383
7700 43 370
7710 52 333
7720 46 342
7730 41 325
7740 49 346
7750 50 375
7760 47 375
7770 30 324
7780 29 304
7790 32 327
7800 36 330
7810 28 318
7820 21 309
7830 26 285
7840 31 325
7850 25 314
7860 24 329
7870 20 346
7880 16 345
7890 17 312
7900 16 338
7910 18 330
7920 27 308
7930 33 341
7940 43 354
7950 43 357
7960 31 328
7970 44 333
7980 49 360
7990 45 331
8000 53 342
8010 48 362
8020 34 343
8030 40 337
8040 47 353
8050 51 345
8060 54 335
8070 54 389
8080 49 341
8090 62 365
8100 30 361
8110 36 312
8120 58 324
8130 61 360
8140 63 363
8150 34 342
8160 32 303
8170 45 357
8180 50 339
8190 51 339
8200 61 341
8210 63 374
8220 45 330
8230 56 326
8240 44 363
8250 33 327
8260 56 362
8270 33 321
8280 53 349
8290 46 325
8300 46 325
8310 65 382
8320 64 353
8330 28 292
8340 24 333
8350 32 327
8360 45 318
8370 51 311
8380 65 337
8390 64 346
8400 48 318
8410 54 366
8420 20 257
8430 38 332
8440 34 295
8450 29 325
8460 36 299
8470 39 318
8480 20 268
8490 20 336
8500 39 318
8510 31 312
8520 27 296
8530 41 340
8540 36 301
8550 16 271
8560 26 283
8570 18 274
8580 20 288
8590 12 303
8600 19 324
8610 15 325
8620 13 317
8630 15 332
8640 28 334
8650 17 282
8660 38 315
8670 28 313
8680 33 316
8690 17 318
8700 9 324
8710 14 277
8720 15 322
8730 11 279
8740 25 299
8750 20 254
8760 27 319
8770 32 325
8780 25 330
8790 28 322
8800 50 386
8810 32 332
8820 40 350
8830 43 356
8840 50 346
8850 50 370
8860 45 330
8870 46 330
8880 31 348
8890 36 336
8900 42 341
8910 22 312
8920 23 337
8930 41 330
8940 40 348
8950 54 377
8960 53 390
8970 39 341
8980 47 385
8990 54 373
9000 44 352
9010 55 369
9020 33 334
9030 89 401
9040 55 368
9050 99 434
9060 92 412
9070 79 419
9080 64 412
9090 86 419
9100 84 431
9110 87 449
9120 97 428
9130 90 383
9140 98 381
9150 77 419
9160 76 348
9170 66 352
9180 58 376
9190 82 353
9200 63 359
9210 72 391
9220 32 366
9230 44 346
9240 36 315
9250 55 358
9260 50 339
9270 51 358
9280 40 335
9290 39 307
9300 48 343
9310 36 337
9320 48 325
9330 56 358
9340 54 353
9350 49 366
9360 46 307
9370 56 341
9380 45 322
9390 65 348
9400 80 371
9410 77 370
9420 69 331
9430 75 331
9440 82 363
9450 76 346
9460 109 414
9470 95 384
9480 86 389
9490 82 368
9500 48 337
9510 69 375
9520 63 388
9530 47 345
9540 43 347
9550 74 355
9560 51 318
9570 73 367
9580 62 379
9590 78 392
9600 71 356
9610 64 362
9620 43 368
9630 65 329
9640 72 391
9650 76 380
9660 68 333
9670 56 373
9680 63 379
9690 76 392
9700 49 387
9710 37 323
9720 38 393
9730 45 342
9740 44 332
9750 61 334
9760 45 354
9770 42 312
9780 37 298
9790 58 392
9800 48 340
9810 41 343
9820 57 369
9830 83 367
9840 66 339
9850 70 363
9860 107 433
9870 85 393
9880 79 384
9890 86 389
9900 81 369
9910 70 395
9920 93 386
9930 86 401
9940 69 331
9950 51 345
9960 78 355
9970 74 378
9980 70 347
9990 70 340
10000 78 321
10010 96 389
10020 87 371
10030 86 422
10040 93 389
10050 110 378
10060 78 336
10070 83 376
10080 66 341
10090 62 359
10100 55 351
10110 50 352
10120 61 376
10130 73 353
10140 60 344
10150 52 356
10160 34 301
10170 53 338
10180 63 364
10190 73 371
10200 51 327
10210 64 350
10220 49 354
10230 53 353
10240 44 364
10250 21 323
10260 18 321
10270 34 306
10280 34 311
10290 37 311
10300 35 346
10310 27 331
10320 34 356
10330 27 302
10340 27 337
10350 39 342
10360 40 336
10370 41 347
10380 37 345
10390 45 344
10400 48 360
10410 14 311
10420 27 337
