# Frame C-Contacts All-Contacts
0 60 392
10 64 440
20 63 400
30 77 428
40 71 388
50 96 416
60 84 398
70 82 387
80 75 468
90 89 433
100 72 414
110 82 446
120 65 411
130 63 443
140 65 453
150 46 430
160 57 440
170 54 428
180 42 420
190 53 449
200 59 424
210 34 428
220 45 443
230 62 439
240 60 429
250 39 459
260 26 418
270 29 390
280 56 443
290 47 433
300 57 432
310 62 473
320 66 434
330 70 416
340 66 415
350 70 445
360 57 418
370 65 447
380 93 429
390 85 450
400 47 386
410 56 423
420 75 445
430 33 398
440 22 412
450 36 399
460 51 411
470 23 398
480 41 419
490 23 437
500 14 374
510 12 378
520 38 426
530 31 364
540 49 395
550 38 405
560 25 376
570 39 413
580 25 396
590 29 386
600 25 383
610 13 369
620 25 438
630 23 431
640 25 409
650 34 424
660 49 448
670 38 414
680 33 368
690 38 378
700 39 369
710 51 410
720 34 363
730 43 391
740 37 406
750 37 395
760 49 405
770 31 425
780 52 382
790 49 412
800 33 375
810 25 379
820 29 372
830 24 400
840 39 370
850 23 385
860 25 413
870 41 430
880 25 362
890 19 378
900 13 396
910 22 375
920 34 416
930 33 384
940 57 409
950 21 373
960 21 358
970 43 405
980 31 400
990 59 422
1000 70 411
1010 61 454
1020 79 455
1030 87 449
1040 107 396
1050 119 447
1060 101 445
1070 112 455
1080 135 476
1090 87 416
1100 119 407
1110 111 425
1120 66 339
1130 82 371
1140 78 366
1150 63 358
1160 68 389
1170 63 320
1180 77 353
1190 88 354
1200 81 355
1210 85 372
1220 79 363
1230 76 402
1240 114 439
1250 115 436
1260 114 424
1270 97 407
1280 122 424
1290 135 394
1300 138 416
1310 129 448
1320 155 432
1330 123 432
1340 122 433
1350 103 388
1360 132 490
1370 77 386
1380 146 466
1390 97 416
1400 92 408
1410 78 428
1420 127 417
1430 114 419
1440 100 409
1450 117 464
1460 116 432
1470 109 441
1480 120 417
1490 128 440
1500 101 466
1510 81 411
1520 105 426
1530 98 414
1540 102 393
1550 81 401
1560 91 433
1570 103 451
1580 80 420
1590 77 424
1600 96 406
1610 92 419
1620 100 428
1630 105 455
1640 114 417
1650 97 428
1660 43 406
1670 44 412
1680 57 381
1690 53 420
1700 49 340
1710 49 391
1720 65 388
1730 43 386
1740 66 392
1750 45 358
1760 55 365
1770 43 351
1780 53 340
1790 51 392
1800 44 385
1810 44 365
1820 50 372
1830 71 406
1840 48 394
1850 50 370
1860 51 393
1870 50 396
1880 54 408
1890 49 353
1900 50 376
1910 66 425
1920 94 433
1930 81 395
1940 78 427
1950 84 419
1960 105 424
1970 101 472
1980 95 444
1990 93 463
2000 87 429
2010 87 405
2020 99 446
2030 72 466
2040 88 412
2050 85 440
2060 81 447
2070 83 411
2080 71 425
2090 84 455
2100 69 400
2110 68 438
2120 84 418
2130 77 438
2140 64 418
2150 77 463
2160 61 438
2170 64 412
2180 78 439
2190 72 415
2200 96 448
2210 87 452
2220 53 437
2230 77 411
2240 56 407
2250 36 388
2260 41 394
2270 37 394
2280 39 414
2290 35 404
2300 27 373
2310 42 410
2320 38 442
2330 56 428
2340 79 461
2350 62 429
2360 66 452
2370 56 465
2380 79 458
2390 68 458
2400 59 443
2410 64 440
2420 46 419
2430 74 464
2440 78 413
2450 51 431
2460 49 409
2470 25 400
2480 46 424
2490 45 440
2500 54 421
2510 40 457
2520 55 428
2530 66 455
2540 57 420
2550 52 429
2560 78 448
2570 49 441
2580 46 387
2590 45 388
2600 51 431
2610 58 396
2620 35 426
2630 69 446
2640 70 456
2650 72 488
2660 70 472
2670 80 431
2680 73 474
2690 90 506
2700 87 498
2710 72 423
2720 84 457
2730 81 477
2740 60 450
2750 93 513
2760 101 472
2770 77 465
2780 83 495
2790 94 476
2800 95 484
2810 73 430
2820 76 448
2830 52 456
2840 81 486
2850 99 486
2860 107 498
2870 93 453
2880 93 475
2890 97 469
2900 90 476
2910 103 500
2920 105 495
2930 94 492
2940 104 491
2950 72 471
2960 68 444
2970 78 475
2980 73 428
2990 64 450
3000 65 488
3010 73 465
3020 77 469
3030 72 476
3040 62 454
3050 59 442
3060 77 440
3070 76 484
3080 60 472
3090 77 484
3100 75 455
3110 54 506
3120 56 471
3130 63 439
3140 57 394
3150 62 463
3160 45 493
3170 59 498
3180 54 462
3190 66 457
3200 51 434
3210 59 506
3220 62 462
3230 61 454
3240 70 456
3250 63 476
3260 58 447
3270 78 459
3280 62 458
3290 76 465
3300 88 514
3310 70 469
3320 83 499
3330 66 462
3340 66 457
3350 71 499
3360 79 458
3370 87 488
3380 72 448
3390 64 470
3400 66 450
3410 75 463
3420 79 475
3430 70 429
3440 88 472
3450 90 506
3460 80 447
3470 86 478
3480 88 497
3490 89 493
3500 84 476
3510 83 494
3520 54 445
3530 68 477
3540 83 457
3550 86 510
3560 89 449
3570 92 502
3580 71 431
3590 100 510
3600 134 518
3610 90 515
3620 80 462
3630 107 527
3640 103 496
3650 83 505
3660 59 487
3670 48 491
3680 61 484
3690 123 597
3700 127 582
3710 107 522
3720 96 494
3730 81 534
3740 83 476
3750 78 443
3760 76 424
3770 60 453
3780 76 467
3790 60 433
3800 60 415
3810 66 461
3820 56 429
3830 78 457
3840 72 459
3850 78 456
3860 67 423
3870 67 447
3880 61 418
3890 73 450
3900 54 399
3910 51 424
3920 52 391
3930 54 429
3940 67 465
3950 62 449
3960 53 464
3970 63 466
3980 53 427
3990 59 428
4000 46 438
4010 62 449
4020 51 425
4030 53 460
4040 61 448
4050 49 445
4060 54 502
4070 57 445
4080 59 437
4090 64 449
4100 58 437
4110 50 424
4120 95 438
4130 92 445
4140 59 413
4150 60 443
4160 68 418
4170 60 441
4180 48 401
4190 50 407
4200 55 422
4210 54 397
4220 52 427
4230 49 440
4240 45 396
4250 42 431
4260 49 426
4270 62 434
4280 73 444
4290 78 429
4300 80 458
4310 75 447
4320 82 469
4330 55 440
4340 51 407
4350 80 456
4360 70 426
4370 52 392
4380 73 445
4390 76 407
4400 59 438
4410 65 448
4420 51 387
4430 55 407
4440 66 415
4450 50 411
4460 57 415
4470 51 402
4480 44 426
4490 54 377
4500 80 423
4510 73 444
4520 76 455
4530 87 448
4540 136 515
4550 130 512
4560 141 546
4570 167 533
4580 124 505
4590 108 527
4600 98 461
4610 89 491
4620 101 513
4630 108 478
4640 126 516
4650 112 479
4660 99 495
4670 94 485
4680 102 457
4690 116 501
4700 116 502
4710 105 479
4720 100 460
4730 108 516
4740 137 508
4750 133 473
4760 140 519
4770 82 487
4780 100 483
4790 124 490
4800 112 473
4810 109 499
4820 124 506
4830 122 494
4840 132 523
4850 90 488
4860 130 509
4870 122 461
4880 133 478
4890 129 515
4900 125 498
4910 143 504
4920 128 507
4930 144 499
4940 83 455
4950 99 481
4960 66 443
4970 62 441
4980 63 460
4990 73 462
5000 68 462
5010 18 377
5020 33 399
5030 46 422
5040 43 424
5050 36 399
5060 35 398
5070 31 430
5080 59 428
5090 27 423
5100 29 426
5110 51 422
5120 22 390
5130 31 394
5140 45 430
5150 37 418
5160 23 360
5170 33 399
5180 20 367
5190 25 384
5200 21 396
5210 38 409
5220 25 384
5230 41 417
5240 34 435
5250 30 418
5260 25 400
5270 9 378
5280 1 361
5290 6 375
5300 2 381
5310 6 385
5320 14 412
5330 15 379
5340 8 384
5350 8 379
5360 0 334
5370 13 394
5380 17 392
5390 14 376
5400 21 378
5410 8 401
5420 20 405
5430 17 391
5440 26 408
5450 17 416
5460 47 452
5470 41 415
5480 36 416
5490 5 353
5500 3 371
5510 4 359
5520 8 370
5530 13 369
5540 23 401
5550 23 389
5560 2 366
5570 4 362
5580 13 357
5590 7 357
5600 6 398
5610 12 383
5620 2 384
5630 3 357
5640 7 375
5650 19 353
5660 9 401
5670 15 386
5680 17 375
5690 26 374
5700 19 409
5710 16 384
5720 16 390
5730 2 364
5740 3 355
5750 1 334
5760 23 392
5770 8 335
5780 20 352
5790 14 372
5800 24 362
5810 32 392
