# #Frame C1_sub1 C1_sub2 C1_dna C2_sub1 C2_sub2 C2_dna
0 0 7 54 0 0 6
10 0 8 65 0 0 0
20 0 5 61 0 0 1
30 0 0 76 0 6 1
40 0 2 67 0 0 3
50 0 8 93 0 0 4
60 0 15 83 0 0 1
70 0 3 81 0 0 1
80 0 3 72 0 0 3
90 0 3 89 0 0 0
100 0 0 71 13 0 0
110 0 0 69 2 0 13
120 0 0 58 0 0 7
130 0 0 55 0 0 7
140 0 0 64 7 0 2
150 0 0 43 3 0 3
160 0 3 53 6 0 4
170 0 5 55 5 0 1
180 0 5 39 6 0 3
190 0 4 52 0 0 1
200 0 7 37 1 0 22
210 0 10 19 38 0 15
220 0 6 30 3 0 15
230 0 0 42 1 0 20
240 0 13 39 0 0 21
250 0 8 27 0 0 12
260 0 7 22 0 0 4
270 0 0 25 2 0 4
280 0 0 52 2 0 4
290 0 5 45 0 0 2
300 0 1 56 0 0 1
310 0 3 63 0 0 0
320 0 0 63 0 0 3
330 0 5 69 0 0 1
340 0 11 66 0 0 1
350 0 4 69 0 0 0
360 0 4 57 7 0 0
370 0 0 61 5 0 3
380 0 0 77 4 0 16
390 0 1 65 0 0 21
400 0 4 44 0 0 3
410 0 0 56 5 0 0
420 0 0 67 5 0 9
430 0 0 32 8 0 1
440 0 0 21 1 0 1
450 0 0 12 11 0 24
460 0 0 33 8 0 18
470 0 0 12 0 0 12
480 0 0 15 0 0 26
490 0 0 23 0 0 0
500 0 0 12 5 0 3
510 0 0 11 7 0 1
520 0 0 25 10 0 13
530 0 0 22 4 0 9
540 0 0 33 25 0 16
550 0 0 19 30 0 19
560 0 0 17 27 0 8
570 0 0 18 35 0 21
580 0 0 11 49 0 14
590 0 0 4 56 0 25
600 0 0 3 41 0 22
610 0 0 0 36 0 13
620 4 0 0 50 0 25
630 0 0 11 62 0 13
640 0 0 16 39 0 9
650 1 0 9 52 0 25
660 0 0 23 54 0 26
670 0 0 12 42 0 26
680 0 0 14 33 0 19
690 4 0 22 40 0 16
700 0 0 25 47 0 14
710 9 0 33 31 0 18
720 1 0 23 31 0 11
730 1 0 30 40 0 13
740 0 0 17 44 0 20
750 0 0 23 44 0 14
760 0 0 29 39 0 20
770 0 0 14 23 0 18
780 0 0 30 46 0 22
790 0 0 32 40 0 16
800 0 0 22 37 0 11
810 0 0 19 21 0 6
820 0 0 19 30 0 10
830 0 0 16 28 0 8
840 0 0 18 27 0 21
850 0 0 13 31 0 10
860 1 0 10 33 0 15
870 0 0 18 39 0 23
880 0 0 13 30 0 12
890 0 0 12 20 0 7
900 0 0 12 32 0 1
910 0 0 19 33 0 3
920 0 0 19 47 0 15
930 0 0 14 73 0 19
940 0 0 18 41 0 39
950 0 0 12 49 0 9
960 0 0 11 46 0 10
970 0 0 24 21 0 19
980 0 0 25 24 0 6
990 0 0 44 33 0 15
1000 0 0 40 36 0 30
1010 0 0 46 30 0 15
1020 0 0 50 37 0 28
1030 0 0 69 64 0 18
1040 0 0 86 62 0 21
1050 0 0 104 40 0 14
1060 0 0 80 40 0 20
1070 0 0 92 42 0 20
1080 0 0 103 32 0 32
1090 0 0 74 62 0 14
1100 0 0 96 38 0 23
1110 0 0 86 50 0 26
1120 0 0 44 41 0 22
1130 0 0 67 47 0 17
1140 0 0 61 41 0 18
1150 0 0 48 34 0 14
1160 0 0 51 37 0 16
1170 0 0 49 46 0 14
1180 0 0 51 36 0 24
1190 0 0 55 34 0 32
1200 0 0 65 29 0 16
1210 0 0 69 36 0 16
1220 0 0 60 47 0 20
1230 0 0 67 31 0 9
1240 0 0 98 27 0 16
1250 0 0 97 63 0 17
1260 0 0 105 37 0 9
1270 0 0 83 35 0 14
1280 0 0 92 32 0 30
1290 0 0 119 34 0 15
1300 0 0 116 43 0 22
1310 0 0 117 42 0 13
1320 0 0 123 50 0 32
1330 0 0 95 48 0 28
1340 0 0 108 36 0 14
1350 0 0 88 43 0 15
1360 0 0 110 26 0 22
1370 0 0 66 41 0 12
1380 0 0 88 46 0 58
1390 0 0 75 38 0 23
1400 0 0 64 45 0 29
1410 0 0 75 29 0 3
1420 0 0 88 28 0 38
1430 0 0 85 43 0 28
1440 0 0 87 27 0 13
1450 0 0 107 45 0 11
1460 0 0 84 28 0 32
1470 0 0 86 36 0 22
1480 0 0 94 32 0 24
1490 0 0 100 34 0 28
1500 0 0 93 24 0 8
1510 0 0 78 31 0 2
1520 0 0 105 44 0 0
1530 0 0 93 31 0 5
1540 0 0 101 45 0 1
1550 0 0 51 56 0 30
1560 0 0 61 50 0 31
1570 0 0 59 55 0 45
1580 0 0 61 74 0 21
1590 0 0 56 72 0 22
1600 0 0 65 102 0 31
1610 0 0 48 91 0 43
1620 0 0 53 80 0 46
1630 0 0 61 72 0 44
1640 0 0 79 70 0 35
1650 0 1 69 75 0 28
1660 0 0 20 57 0 21
1670 0 0 28 59 0 16
1680 0 0 34 62 0 23
1690 0 0 41 41 0 12
1700 0 0 34 85 0 15
1710 0 0 31 43 0 18
1720 0 0 42 61 0 23
1730 0 0 24 55 0 19
1740 0 0 36 55 0 30
1750 0 0 30 51 0 15
1760 0 0 38 57 0 17
1770 0 0 30 48 0 13
1780 0 0 25 48 0 27
1790 0 0 30 53 0 20
1800 0 0 28 49 0 15
1810 0 0 26 62 0 18
1820 0 0 32 63 0 18
1830 0 1 49 58 0 21
1840 0 0 25 69 0 24
1850 0 0 26 52 0 24
1860 0 0 27 83 0 24
1870 0 0 32 69 0 18
1880 0 0 38 44 0 16
1890 0 0 29 39 0 20
1900 0 0 26 45 0 25
1910 0 0 36 34 0 30
1920 0 0 64 22 0 30
1930 0 0 59 39 0 22
1940 0 0 56 41 0 22
1950 0 0 64 61 0 21
1960 0 0 67 55 0 37
1970 0 1 65 75 0 36
1980 0 0 52 66 0 43
1990 0 0 64 50 0 29
2000 0 0 64 68 0 23
2010 0 0 57 74 0 30
2020 0 0 76 62 0 23
2030 0 0 50 69 0 21
2040 0 0 71 65 0 17
2050 0 0 58 62 0 26
2060 0 0 62 49 0 19
2070 0 0 60 56 0 23
2080 0 0 41 54 0 30
2090 0 0 53 60 0 31
2100 0 0 49 69 0 19
2110 0 0 44 67 0 24
2120 0 0 58 66 0 27
2130 0 0 66 65 0 11
2140 0 0 52 70 0 12
2150 0 0 65 50 0 13
2160 0 0 34 64 0 27
2170 0 0 50 71 0 14
2180 0 0 58 65 0 20
2190 0 0 50 63 0 22
2200 0 0 56 81 0 40
2210 0 0 60 70 0 27
2220 0 0 30 70 0 23
2230 0 0 65 66 0 11
2240 0 0 34 74 0 20
2250 0 0 10 56 0 27
2260 0 0 14 76 0 27
2270 1 0 13 63 0 24
2280 0 0 17 45 0 22
2290 0 0 16 63 0 19
2300 0 0 3 59 0 24
2310 0 0 10 57 0 32
2320 0 0 13 51 0 25
2330 0 0 20 65 0 37
2340 0 0 21 66 0 58
2350 0 0 23 76 0 39
2360 0 0 16 82 0 48
2370 0 0 11 78 0 45
2380 0 0 15 58 0 64
2390 0 0 14 64 0 54
2400 0 0 7 72 0 52
2410 0 0 17 44 0 47
2420 0 0 13 45 0 33
2430 0 0 15 34 0 59
2440 0 0 21 51 0 57
2450 0 0 10 71 0 41
2460 0 0 13 81 0 36
2470 0 0 11 41 0 14
2480 0 0 9 55 0 37
2490 25 0 9 53 0 36
2500 25 0 10 52 0 44
2510 15 0 12 50 0 28
2520 8 0 12 85 0 43
2530 13 0 16 35 0 50
2540 0 0 4 53 0 52
2550 0 0 13 41 0 39
2560 0 0 14 46 0 64
2570 0 0 0 48 0 49
2580 0 3 0 49 0 46
2590 0 0 12 50 0 34
2600 0 0 9 45 0 42
2610 0 0 14 36 0 44
2620 0 0 19 47 0 16
2630 3 0 30 39 0 40
2640 0 0 25 52 0 46
2650 0 0 23 44 0 50
2660 2 0 31 59 0 39
2670 0 0 33 62 0 47
2680 0 0 17 37 0 56
2690 0 0 31 39 0 59
2700 0 0 30 65 0 56
2710 0 0 29 62 0 43
2720 0 0 33 63 0 50
2730 3 0 23 46 0 59
2740 0 0 17 55 0 43
2750 0 0 38 49 0 56
2760 0 0 36 39 0 65
2770 0 0 19 42 0 57
2780 0 0 31 31 0 52
2790 0 0 40 31 0 54
2800 0 0 43 61 0 53
2810 12 0 24 57 0 49
2820 0 0 24 45 0 53
2830 0 0 16 56 0 36
2840 0 0 21 53 0 59
2850 0 0 31 50 0 68
2860 0 0 39 49 0 68
2870 0 0 32 35 0 61
2880 6 0 40 59 0 53
2890 7 0 36 42 0 60
2900 7 0 32 66 0 58
2910 2 0 33 41 0 70
2920 0 0 22 38 0 83
2930 0 0 23 51 0 72
2940 0 0 37 60 0 68
2950 0 0 24 82 0 48
2960 0 0 21 63 0 47
2970 0 0 27 67 0 51
2980 0 0 24 68 0 48
2990 0 0 23 53 0 41
3000 0 0 17 76 0 48
3010 0 0 18 65 0 55
3020 0 0 20 51 0 57
3030 0 0 27 64 0 46
3040 0 0 24 68 0 37
3050 0 0 14 60 0 45
3060 0 0 28 67 0 50
3070 0 0 24 51 0 52
3080 0 0 19 58 0 41
3090 4 0 29 39 0 49
3100 0 0 22 57 0 53
3110 0 0 23 71 0 32
3120 1 0 25 69 0 31
3130 0 0 14 71 0 49
3140 0 0 10 45 0 47
3150 0 0 12 57 0 50
3160 0 0 8 73 0 38
3170 0 0 8 56 0 51
3180 0 0 19 65 0 35
3190 0 0 7 48 0 59
3200 0 0 5 72 0 45
3210 0 0 11 48 0 48
3220 0 0 15 91 0 47
3230 0 0 22 57 0 39
3240 0 0 19 69 0 51
3250 0 0 14 84 0 49
3260 0 0 13 75 0 44
3270 0 0 32 53 0 47
3280 0 0 24 68 0 38
3290 6 0 22 69 0 54
3300 0 0 42 57 0 45
3310 0 0 31 61 0 39
3320 0 0 26 68 0 57
3330 0 0 19 59 0 47
3340 0 0 20 59 0 46
3350 0 0 21 54 0 50
3360 0 0 25 51 0 54
3370 0 0 30 63 0 57
3380 0 0 25 38 0 48
3390 0 0 27 61 0 38
3400 1 0 20 49 0 46
3410 0 0 13 59 0 62
3420 0 0 22 71 0 57
3430 0 0 19 76 0 51
3440 0 0 21 35 0 68
3450 0 0 38 65 0 52
3460 0 0 18 47 0 62
3470 0 0 32 60 0 54
3480 0 0 44 72 0 43
3490 0 0 44 57 0 45
3500 0 0 44 55 0 40
3510 0 0 34 63 0 49
3520 0 0 6 71 0 48
3530 0 0 14 65 0 54
3540 0 0 26 42 0 56
3550 0 0 31 69 0 55
3560 0 0 24 78 0 64
3570 0 0 46 64 0 45
3580 0 0 22 57 0 49
3590 0 0 42 60 0 57
3600 0 0 68 50 0 65
3610 0 0 38 68 0 51
3620 0 0 22 42 0 58
3630 0 5 48 57 0 58
3640 0 0 45 74 0 58
3650 0 1 21 54 0 62
3660 0 0 12 74 0 48
3670 0 0 15 60 0 33
3680 0 0 21 64 0 39
3690 0 0 63 72 0 59
3700 0 0 79 52 0 48
3710 0 0 58 64 0 49
3720 0 0 42 38 0 54
3730 0 0 36 67 0 45
3740 0 0 37 61 0 46
3750 0 0 31 69 0 47
3760 0 0 23 62 0 53
3770 0 0 27 50 0 33
3780 0 0 21 76 0 55
3790 0 0 23 65 0 37
3800 0 0 11 51 0 49
3810 0 0 18 54 0 48
3820 9 0 0 60 0 56
3830 0 0 29 77 0 47
3840 0 0 26 54 0 46
3850 0 0 17 52 0 61
3860 0 0 12 47 0 54
3870 0 0 24 74 0 43
3880 0 0 13 63 0 48
3890 0 0 23 58 0 51
3900 3 0 6 39 0 48
3910 0 0 5 44 0 45
3920 0 0 5 30 0 47
3930 0 0 0 51 0 54
3940 1 0 9 65 0 58
3950 2 0 12 53 0 50
3960 0 0 13 69 0 40
3970 0 0 11 63 0 52
3980 0 0 6 66 0 47
3990 0 0 2 63 0 57
4000 0 0 0 68 0 45
4010 0 0 6 76 0 57
4020 3 0 2 67 0 50
4030 2 0 0 74 0 53
4040 0 0 2 75 0 59
4050 0 0 0 54 0 49
4060 0 0 7 48 0 47
4070 0 0 0 55 0 57
4080 0 0 10 45 0 49
4090 0 0 13 64 0 51
4100 0 0 11 55 0 48
4110 0 0 1 32 0 49
4120 0 0 42 63 0 53
4130 0 0 39 54 0 53
4140 0 0 21 51 0 38
4150 0 0 9 62 0 51
4160 0 0 10 72 0 59
4170 0 0 10 77 0 50
4180 0 0 12 60 0 36
4190 6 0 0 70 0 50
4200 13 0 1 52 0 54
4210 4 0 3 69 0 51
4220 30 0 0 58 0 52
4230 46 0 0 65 0 49
4240 42 0 1 53 0 44
4250 49 0 0 67 0 42
4260 30 0 7 65 0 42
4270 40 0 13 71 0 49
4280 35 0 9 30 0 64
4290 39 0 17 62 0 61
4300 46 0 12 59 0 68
4310 49 0 11 42 0 64
4320 40 0 17 58 0 66
4330 58 0 8 61 0 47
4340 53 0 7 73 0 44
4350 47 0 23 57 0 57
4360 26 0 11 61 0 59
4370 44 0 4 49 0 48
4380 39 0 15 56 0 58
4390 41 0 21 77 0 55
4400 48 0 17 53 0 41
4410 48 0 14 70 0 51
4420 29 0 12 62 0 38
4430 39 0 6 58 0 49
4440 28 0 8 68 0 59
4450 7 0 1 78 0 48
4460 1 0 2 63 0 55
4470 0 3 1 55 0 50
4480 0 0 0 49 0 44
4490 1 0 2 54 0 52
4500 5 0 25 43 0 55
4510 1 0 18 69 0 56
4520 1 0 23 71 0 53
4530 0 0 31 76 0 55
4540 0 0 83 78 0 50
4550 0 0 76 59 0 54
4560 0 0 86 67 0 55
4570 0 0 108 54 0 61
4580 0 0 82 48 0 42
4590 0 1 37 55 0 71
4600 0 0 41 49 0 57
4610 0 0 41 55 0 48
4620 0 0 52 30 0 49
4630 0 0 52 64 0 55
4640 0 0 60 46 0 67
4650 0 0 65 71 0 47
4660 0 0 55 36 0 44
4670 0 0 43 67 0 51
4680 0 0 43 36 0 59
4690 0 0 60 58 0 56
4700 0 0 60 37 0 57
4710 0 0 54 60 0 51
4720 0 0 61 55 0 39
4730 0 0 74 79 0 33
4740 0 1 77 60 0 60
4750 0 0 65 62 0 67
4760 0 0 74 65 0 66
4770 0 0 41 73 0 41
4780 0 0 56 51 0 46
4790 0 1 73 72 0 51
4800 0 0 66 61 0 46
4810 0 0 68 67 0 41
4820 0 0 84 62 0 41
4830 0 0 71 62 0 50
4840 0 0 75 75 0 57
4850 0 0 63 58 0 27
4860 0 0 77 38 0 53
4870 0 0 72 44 0 49
4880 0 0 88 66 0 44
4890 0 0 85 74 0 44
4900 0 0 89 59 0 36
4910 0 0 83 80 0 61
4920 0 0 72 88 0 56
4930 0 0 95 50 0 49
4940 0 0 71 30 0 12
4950 0 0 87 15 0 12
4960 0 0 58 24 0 8
4970 0 0 42 15 0 20
4980 0 0 51 12 0 12
4990 0 0 40 8 0 33
5000 0 0 32 17 0 36
5010 3 0 2 10 0 16
5020 1 0 11 17 0 22
5030 5 0 19 10 0 27
5040 0 0 16 5 0 27
5050 0 0 7 6 0 29
5060 0 0 7 6 0 28
5070 0 0 9 9 0 22
5080 7 0 15 13 0 43
5090 0 0 9 14 0 18
5100 0 0 2 15 0 27
5110 0 0 13 13 0 38
5120 0 0 2 7 0 20
5130 0 0 5 10 0 26
5140 0 0 10 12 0 35
5150 0 2 10 6 0 27
5160 0 0 0 13 0 23
5170 0 0 11 9 0 22
5180 0 0 2 8 0 18
5190 0 4 3 9 0 22
5200 0 0 1 6 0 20
5210 0 0 16 0 0 22
5220 0 0 4 0 0 21
5230 0 0 24 0 0 17
5240 1 0 9 0 0 25
5250 3 0 17 0 0 13
5260 4 0 1 0 0 23
5270 11 0 1 0 0 8
5280 1 0 1 0 0 0
5290 0 0 5 0 1 1
5300 1 0 2 0 0 0
5310 0 0 0 0 0 5
5320 0 0 7 4 0 8
5330 0 0 11 0 0 4
5340 0 0 7 4 0 1
5350 0 0 3 0 0 5
5360 7 0 0 0 0 0
5370 4 0 13 11 0 0
5380 3 0 10 0 0 7
5390 9 0 8 5 0 6
5400 0 0 17 8 0 4
5410 0 0 8 5 0 0
5420 0 0 17 0 0 3
5430 0 0 16 0 0 1
5440 0 0 25 0 0 0
5450 0 0 10 0 0 7
5460 0 0 17 1 0 32
5470 0 0 24 0 0 17
5480 0 0 16 0 0 20
5490 0 0 0 18 0 5
5500 0 0 2 18 0 1
5510 0 0 0 8 0 4
5520 0 0 0 11 0 8
5530 0 0 6 22 0 7
5540 0 0 13 23 0 10
5550 0 0 19 16 0 4
5560 0 0 1 0 0 1
5570 0 0 4 16 0 0
5580 0 0 13 21 0 0
5590 0 0 7 8 0 0
5600 0 0 3 6 0 3
5610 0 0 12 18 0 0
5620 0 0 2 8 0 0
5630 1 0 2 15 0 1
5640 0 0 6 9 0 1
5650 1 0 11 0 0 8
5660 3 0 8 2 0 1
5670 0 0 13 29 0 2
5680 0 0 8 8 0 9
5690 0 0 19 9 0 7
5700 2 0 9 0 0 10
5710 1 0 9 0 0 7
5720 8 0 10 8 0 6
5730 4 0 0 8 0 2
5740 19 0 0 5 0 3
5750 20 0 0 4 0 1
5760 21 0 7 0 0 16
5770 18 0 7 0 0 1
5780 14 0 12 0 0 8
5790 4 0 2 0 0 12
5800 5 0 23 0 0 1
5810 4 0 31 0 0 1
5820 0 0 23 0 0 39
5830 0 0 29 0 0 31
5840 0 0 14 0 0 33
5850 0 0 11 0 0 26
5860 0 0 18 0 0 29
5870 0 0 9 0 0 30
5880 0 0 24 0 0 7
5890 0 0 24 0 0 1
5900 0 0 26 0 0 0
5910 0 0 40 0 0 1
5920 0 0 36 0 0 0
5930 0 0 18 0 0 0
5940 0 0 9 0 0 5
5950 0 0 11 0 0 4
5960 0 0 9 0 4 14
5970 4 0 16 0 6 39
5980 1 0 1 0 2 43
5990 0 0 0 0 0 29
6000 0 0 2 0 0 31
6010 0 0 1 0 7 46
6020 6 0 2 0 2 34
6030 0 0 1 0 2 24
6040 0 0 1 0 7 59
6050 4 0 0 0 7 42
6060 0 0 7 0 12 48
6070 0 0 3 0 6 40
6080 0 0 18 0 1 35
6090 0 0 16 0 8 28
6100 0 0 7 0 5 20
6110 0 0 10 0 2 12
6120 0 0 3 0 4 23
6130 0 0 0 0 9 16
6140 0 0 3 0 12 19
6150 0 0 2 0 9 33
6160 0 0 0 0 5 23
6170 2 0 3 0 0 7
6180 0 0 0 0 0 5
6190 20 0 1 0 0 3
6200 0 0 1 0 0 18
6210 0 0 0 0 0 15
6220 0 0 15 6 0 13
6230 0 0 13 5 0 20
6240 2 0 2 1 0 27
6250 0 0 2 6 0 5
6260 0 4 12 4 0 16
6270 0 0 12 0 0 15
6280 0 0 12 0 0 9
6290 0 0 0 0 0 4
6300 0 0 1 0 0 7
6310 0 0 9 0 0 6
6320 0 0 4 0 0 2
6330 0 0 14 0 0 4
6340 0 0 5 8 0 6
6350 0 0 2 12 0 8
6360 0 0 9 9 0 6
6370 0 0 7 15 0 5
6380 0 0 0 0 0 17
6390 1 0 4 0 0 12
6400 0 0 1 0 0 33
6410 0 0 3 4 1 9
6420 0 0 21 3 0 11
6430 0 0 18 0 0 8
6440 0 0 20 8 0 24
6450 0 0 13 17 0 4
6460 0 0 1 10 0 2
6470 1 0 1 21 0 1
6480 0 0 3 3 0 1
6490 0 0 0 11 0 1
6500 0 0 11 12 0 5
6510 0 0 7 0 0 11
6520 0 0 12 0 0 8
6530 0 0 10 19 0 0
6540 0 0 0 0 0 6
6550 0 0 0 2 0 6
6560 0 0 3 0 0 9
6570 0 0 6 0 0 4
6580 0 0 8 10 0 2
6590 0 0 13 0 0 8
6600 0 0 2 0 0 9
6610 0 0 8 14 0 5
6620 0 0 0 54 0 2
6630 0 0 5 49 0 10
6640 0 0 0 65 0 5
6650 0 0 0 13 0 21
6660 0 0 23 10 0 7
6670 0 0 26 9 0 2
6680 0 0 32 12 0 18
6690 0 0 28 3 0 35
6700 0 0 28 0 0 38
6710 0 0 24 0 0 29
6720 0 0 35 10 0 27
6730 0 0 37 9 0 3
6740 0 0 43 4 0 5
6750 0 0 40 0 0 6
6760 1 0 50 0 0 9
6770 0 0 21 0 0 14
6780 0 0 27 0 0 14
6790 0 0 40 0 0 12
6800 0 0 28 0 0 12
6810 0 0 32 2 0 5
6820 5 0 23 10 0 6
6830 0 0 35 6 0 10
6840 0 0 48 12 0 1
6850 0 0 44 0 0 16
6860 0 0 32 0 0 19
6870 0 0 61 0 0 20
6880 0 0 74 9 0 28
6890 0 0 73 1 0 17
6900 0 0 63 6 0 13
6910 0 0 82 3 0 5
6920 0 0 69 2 0 16
6930 0 0 79 8 0 19
6940 0 0 70 13 0 9
6950 0 0 73 0 0 6
6960 0 0 73 0 0 0
6970 0 0 62 0 0 9
6980 0 0 74 0 7 0
6990 0 0 80 0 0 11
7000 0 0 64 0 0 15
7010 0 0 47 0 0 2
7020 0 0 79 0 0 16
7030 0 0 89 0 0 12
7040 0 0 99 0 0 13
7050 0 0 70 0 0 21
7060 0 0 89 0 0 14
7070 0 0 59 0 0 14
7080 0 0 63 3 0 12
7090 0 0 58 6 0 12
7100 0 0 62 8 0 22
7110 0 0 71 5 0 20
7120 0 0 80 5 0 11
7130 0 0 55 10 0 6
7140 0 0 87 6 0 1
7150 0 0 82 6 0 9
7160 0 0 75 10 0 2
7170 0 0 77 13 0 9
7180 0 0 83 6 0 7
7190 0 0 81 4 0 9
7200 0 0 73 4 0 9
7210 0 0 86 4 0 10
7220 0 0 57 0 3 13
7230 0 0 67 0 0 13
7240 0 0 39 0 1 12
7250 0 0 66 4 2 26
7260 0 0 83 2 1 10
7270 0 0 61 3 0 13
7280 0 0 76 0 0 14
7290 0 0 81 13 0 11
7300 0 0 83 2 0 1
7310 0 0 74 5 0 27
7320 0 0 96 5 0 22
7330 0 0 58 5 0 11
7340 0 0 75 1 0 24
7350 0 0 81 8 0 23
7360 0 0 70 11 7 10
7370 0 0 71 0 5 14
7380 0 0 69 0 1 20
7390 0 0 52 1 0 21
7400 0 0 51 1 0 16
7410 0 0 38 10 7 2
7420 0 1 73 10 0 13
7430 0 0 84 2 0 14
7440 0 1 76 7 0 6
7450 0 1 81 8 0 22
7460 0 4 84 12 0 4
7470 0 0 58 1 0 8
7480 0 3 77 2 0 7
7490 0 0 65 0 0 0
7500 0 3 58 2 0 29
7510 0 3 60 1 0 19
7520 0 3 58 5 0 15
7530 0 0 51 0 0 6
7540 0 0 50 0 0 23
7550 0 0 61 0 0 29
7560 0 0 56 0 0 21
7570 0 0 52 0 0 34
7580 3 0 49 0 0 22
7590 5 0 71 0 0 20
7600 2 0 58 0 0 13
7610 4 0 53 0 0 9
7620 0 0 55 0 0 17
7630 0 0 67 0 0 15
7640 0 0 67 0 0 3
7650 0 0 62 0 0 1
7660 0 0 51 0 0 14
7670 0 0 44 0 0 9
7680 0 0 55 0 0 21
7690 0 0 47 0 0 11
7700 0 0 56 0 0 14
7710 0 0 49 0 0 18
7720 0 0 66 0 0 19
7730 0 0 46 0 0 14
7740 0 0 60 0 0 15
7750 0 0 48 0 0 8
7760 5 0 45 0 0 0
7770 0 0 50 0 0 0
7780 0 0 59 0 0 3
7790 0 0 67 0 0 7
7800 0 0 64 0 0 1
7810 0 0 77 0 0 1
7820 0 0 70 0 1 2
7830 0 0 73 0 0 6
7840 0 0 91 0 0 8
7850 0 0 88 0 0 5
7860 0 0 87 0 0 2
7870 0 0 75 0 0 12
7880 0 0 82 0 0 9
7890 0 0 57 0 0 7
7900 0 0 74 3 0 4
7910 0 0 107 3 0 8
7920 0 0 61 0 0 0
7930 3 0 69 0 0 15
7940 0 0 104 0 15 0
7950 0 0 59 0 5 0
7960 0 0 70 0 5 0
7970 1 0 73 0 7 0
7980 0 0 70 0 11 0
7990 0 0 73 0 0 1
8000 0 0 65 0 0 14
8010 0 0 50 0 0 1
8020 0 0 58 0 0 18
8030 0 0 44 0 0 5
8040 2 0 72 0 0 2
8050 3 0 87 0 0 2
8060 0 0 80 0 0 0
8070 2 0 63 0 0 8
8080 1 0 76 0 0 4
8090 0 0 51 0 0 5
8100 0 0 65 0 0 17
8110 3 0 78 0 0 0
8120 7 0 84 0 0 6
8130 7 0 75 0 0 0
8140 7 0 67 0 0 8
8150 0 0 68 0 0 8
8160 0 0 44 0 4 0
8170 0 0 61 0 24 8
8180 0 0 67 0 46 2
8190 0 0 53 0 27 2
8200 0 0 67 0 19 2
8210 0 0 54 0 1 1
8220 0 0 85 0 0 0
8230 4 0 69 0 21 9
8240 2 0 79 0 17 14
8250 0 0 63 0 2 6
8260 0 0 66 0 3 0
8270 0 0 77 0 3 0
8280 0 0 62 0 0 0
8290 0 0 73 0 0 5
8300 0 0 63 0 9 1
8310 0 0 55 0 18 3
8320 0 0 68 0 32 11
8330 0 0 82 0 15 6
8340 0 0 59 0 40 9
8350 0 0 81 0 9 4
8360 0 0 61 0 3 5
8370 0 0 64 0 0 2
8380 15 0 34 0 0 8
8390 3 0 67 0 6 2
8400 0 0 89 0 5 7
8410 0 0 83 0 5 1
8420 0 0 64 0 0 3
8430 5 0 66 0 0 3
8440 0 0 66 0 2 4
8450 0 0 79 0 0 11
8460 0 0 94 0 1 7
8470 0 0 66 0 0 6
8480 0 0 63 8 0 3
8490 0 0 80 12 0 3
8500 0 0 100 0 0 1
8510 0 0 85 0 0 0
8520 0 0 73 8 0 0
8530 0 0 71 6 0 1
8540 0 0 64 23 0 0
8550 0 0 85 11 0 0
8560 0 0 65 13 0 0
8570 0 0 68 9 0 2
8580 0 0 80 14 0 7
8590 0 0 71 11 0 1
8600 0 0 70 0 0 5
8610 1 0 87 5 0 4
8620 0 0 68 13 0 7
8630 0 0 76 9 0 2
8640 0 0 106 17 0 3
8650 0 0 87 9 0 0
8660 0 0 58 35 0 16
8670 0 0 118 19 0 18
8680 0 0 99 35 0 28
8690 0 0 73 26 0 20
8700 0 0 78 45 0 6
8710 0 0 83 22 0 14
8720 0 0 93 14 0 25
8730 0 0 54 8 0 20
8740 0 0 61 5 0 1
8750 0 0 56 9 0 1
8760 0 0 40 8 0 7
8770 0 0 26 7 0 6
8780 0 0 29 9 0 0
8790 0 0 28 10 0 2
8800 0 0 18 28 0 6
8810 0 0 29 37 0 15
8820 0 0 38 60 0 33
8830 0 0 33 93 0 17
8840 0 0 30 82 0 19
8850 0 0 41 107 0 19
8860 0 0 38 97 0 14
8870 0 0 48 89 0 22
8880 0 0 23 86 0 28
8890 0 0 29 65 0 37
8900 0 0 26 66 0 38
8910 0 0 29 86 0 30
8920 0 0 26 97 0 28
8930 0 0 26 92 0 31
8940 0 0 15 74 0 30
8950 0 0 17 90 0 23
8960 0 0 28 69 0 51
8970 0 0 22 64 0 32
8980 0 0 39 95 0 13
8990 0 0 46 60 0 41
9000 0 0 24 67 0 28
9010 0 0 20 57 0 32
9020 0 0 20 73 0 25
9030 0 0 9 49 0 29
9040 0 0 0 65 0 41
9050 0 0 0 78 0 45
9060 0 0 10 52 0 38
9070 0 0 7 76 0 40
9080 0 0 0 69 0 45
