# #Frame C1_sub1 C1_sub2 C1_dna C2_sub1 C2_sub2 C2_dna
0 0 1 85 0 0 1
10 0 1 97 0 0 8
20 0 1 79 0 6 12
30 0 1 73 0 0 23
40 0 1 97 0 0 12
50 0 0 81 0 0 14
60 0 1 81 0 0 7
70 0 2 80 0 0 4
80 4 1 92 0 0 0
90 0 2 84 0 0 11
100 0 2 94 0 0 33
110 0 1 59 0 0 44
120 0 0 92 0 0 45
130 0 2 81 0 0 39
140 0 2 101 0 0 20
150 0 1 88 0 0 20
160 0 3 98 4 0 20
170 0 2 92 4 0 0
180 0 2 109 0 0 0
190 0 0 87 0 0 0
200 0 1 88 0 0 3
210 0 2 110 0 0 0
220 0 2 109 0 0 4
230 0 1 96 0 0 3
240 0 1 103 0 0 2
250 0 1 79 0 0 0
260 0 1 95 0 0 0
270 0 1 102 0 0 6
280 0 1 86 0 0 22
290 0 0 91 0 0 3
300 0 1 98 0 0 1
310 0 2 95 0 0 4
320 0 1 114 0 0 7
330 0 1 98 0 0 2
340 0 1 99 0 0 2
350 0 1 103 6 0 4
360 0 0 117 1 0 0
370 0 2 108 0 0 1
380 0 2 76 0 0 6
390 0 2 110 0 0 6
400 0 2 88 0 0 12
410 0 1 85 0 0 21
420 0 1 71 0 0 21
430 0 1 90 0 0 19
440 0 3 100 0 0 9
450 0 1 68 0 0 11
460 0 0 75 0 0 12
470 0 1 89 0 0 5
480 0 1 49 0 0 6
490 0 1 54 1 0 7
500 0 1 58 0 0 4
510 0 1 43 0 0 5
520 0 1 67 0 0 10
530 0 1 54 0 0 10
540 0 1 66 1 0 0
550 0 1 46 0 0 0
560 0 4 65 0 0 1
570 0 3 59 0 0 0
580 0 2 56 0 0 0
590 0 1 68 0 0 2
600 0 1 70 0 0 13
610 0 1 45 0 0 8
620 0 1 47 0 1 4
630 0 1 66 0 0 9
640 0 2 46 0 0 2
650 0 2 77 0 3 11
660 0 3 57 0 0 3
670 0 2 59 0 0 0
680 0 1 71 0 0 6
690 0 1 56 0 0 0
700 0 1 60 0 0 0
710 0 1 55 0 0 2
720 0 2 52 0 0 2
730 0 3 92 0 0 12
740 0 0 69 0 0 2
750 0 2 83 0 0 3
760 0 0 73 0 0 4
770 0 2 85 0 0 0
780 0 2 89 0 0 0
790 0 0 85 0 0 2
800 0 2 95 6 0 6
810 0 2 91 7 0 6
820 0 2 77 3 0 1
830 0 0 73 1 0 0
840 0 2 87 0 0 1
850 0 2 99 0 0 0
860 0 2 82 0 0 6
870 0 1 81 0 0 3
880 0 2 90 0 0 2
890 0 1 104 0 0 2
900 0 1 69 5 0 0
910 0 0 78 0 0 0
920 0 1 121 0 0 0
930 0 1 96 0 0 8
940 0 2 89 0 0 3
950 0 1 108 0 0 2
960 0 1 92 0 0 15
970 0 2 95 3 0 16
980 0 1 130 0 0 8
990 0 2 93 4 0 12
1000 0 1 93 0 0 4
1010 0 2 91 0 0 5
1020 0 2 85 0 6 5
1030 0 2 100 0 5 1
1040 0 1 101 0 1 7
1050 0 1 89 0 8 8
1060 0 1 85 0 3 1
1070 0 1 98 0 1 9
1080 0 1 82 0 0 0
1090 0 2 84 0 0 6
1100 0 2 68 0 0 25
1110 0 1 91 0 1 22
1120 0 1 69 0 0 8
1130 0 2 100 0 0 23
1140 0 1 67 0 0 22
1150 0 1 97 0 0 17
1160 0 2 73 0 0 34
1170 0 1 62 0 0 31
1180 0 2 67 0 0 27
1190 0 2 67 0 0 19
1200 0 3 64 0 1 23
1210 0 1 78 0 0 16
1220 0 1 60 0 0 13
1230 0 2 83 0 0 31
1240 0 1 69 0 0 11
1250 0 2 96 0 0 27
1260 0 4 122 0 0 25
1270 0 4 108 0 0 47
1280 0 2 96 0 0 36
1290 0 3 95 0 0 34
1300 0 1 94 0 0 30
1310 0 1 70 0 0 43
1320 1 2 57 0 0 37
1330 0 1 81 0 0 43
1340 0 1 99 0 0 86
1350 0 1 82 0 0 80
1360 0 1 83 0 0 89
1370 0 1 88 0 0 84
1380 0 1 106 0 0 85
1390 0 1 82 0 0 70
1400 0 0 75 0 0 85
1410 0 4 77 0 0 81
1420 0 3 66 0 0 97
1430 0 1 88 0 0 79
1440 0 1 79 0 0 77
1450 0 2 70 0 0 83
1460 0 1 95 0 0 76
1470 0 3 83 0 0 29
1480 0 1 98 0 0 19
1490 0 1 89 0 0 18
1500 0 1 88 0 0 28
1510 0 2 93 0 0 22
1520 0 2 79 0 0 28
1530 0 2 77 0 0 25
1540 0 1 87 0 0 23
1550 0 1 88 0 0 30
1560 0 3 85 0 0 30
