# #Frame C1_sub1 C1_sub2 C2_sub1 C2_sub2
0 0 13 0 0
10 0 2 0 0
20 0 3 0 0
30 0 0 0 0
40 0 7 0 0
50 0 0 0 0
60 0 0 0 0
70 0 0 0 0
80 0 10 0 0
90 0 13 1 0
100 0 10 0 0
110 0 9 0 0
120 0 10 0 0
130 0 9 0 0
140 0 4 0 0
150 0 21 0 0
160 0 14 0 0
170 0 27 0 0
180 0 0 0 0
190 0 14 0 0
200 0 1 0 0
210 0 2 0 0
220 0 7 0 0
230 0 6 0 0
240 0 0 0 0
250 0 3 0 0
260 0 3 0 0
270 0 13 0 0
280 0 1 0 0
290 0 9 0 6
300 0 14 0 0
310 0 16 0 0
320 0 2 0 0
330 0 8 0 0
340 0 5 0 0
350 0 39 0 0
360 0 41 0 0
370 0 37 0 0
380 0 47 0 0
390 0 30 0 0
400 0 30 0 0
410 0 7 0 0
420 0 0 0 0
430 0 15 0 0
440 0 42 0 0
450 0 25 0 0
460 0 10 0 0
470 0 13 2 0
480 0 21 10 0
490 0 19 10 0
500 0 13 6 0
510 0 12 4 0
520 0 16 0 0
530 0 6 2 0
540 0 0 16 0
550 0 0 16 0
560 0 0 5 0
570 0 0 7 0
580 0 0 1 0
590 0 0 5 0
600 0 0 2 0
610 0 0 9 0
620 5 0 27 0
630 10 0 24 0
640 6 0 12 0
650 8 0 47 0
660 19 0 41 0
670 19 0 48 0
680 26 0 60 0
690 24 0 26 0
700 23 0 20 0
710 20 0 27 0
720 3 0 25 0
730 32 0 19 0
740 26 0 17 0
750 11 0 9 0
760 21 0 15 0
770 6 0 27 0
780 8 0 17 0
790 0 0 18 0
800 25 0 7 0
810 28 0 0 0
820 6 0 1 0
830 5 0 0 0
840 0 0 0 0
850 9 0 0 0
860 8 0 19 0
870 0 0 0 0
880 0 0 0 0
890 0 0 0 0
900 0 0 0 1
910 8 2 0 0
920 0 0 0 0
930 0 0 0 0
940 0 0 0 0
950 0 0 0 0
960 0 0 0 0
970 0 0 15 0
980 0 0 0 0
990 0 0 0 0
1000 3 0 0 0
1010 15 0 0 0
1020 5 1 19 0
1030 10 0 19 0
1040 4 0 44 0
1050 0 0 19 0
1060 2 0 38 0
1070 0 0 24 0
1080 0 0 29 0
1090 0 2 40 0
1100 0 0 10 0
1110 0 0 40 0
1120 0 0 48 0
1130 0 2 45 0
1140 0 0 48 0
1150 0 7 49 0
1160 0 39 44 0
1170 0 50 45 0
1180 0 50 38 0
1190 0 88 28 0
1200 0 1 0 0
1210 0 1 15 0
1220 0 19 27 0
1230 0 9 30 0
1240 0 13 18 0
1250 0 24 2 0
1260 0 21 21 0
1270 0 28 8 0
1280 0 2 0 0
1290 0 11 0 0
1300 0 10 0 0
1310 0 7 0 0
1320 0 17 0 0
1330 0 0 0 0
1340 0 14 0 4
1350 0 3 0 0
1360 0 33 0 0
1370 0 1 0 0
1380 0 15 0 0
1390 0 13 0 0
1400 0 15 0 0
1410 0 5 0 0
1420 0 5 0 0
1430 0 8 0 0
1440 0 29 0 0
1450 0 8 0 0
1460 0 7 0 0
1470 0 10 0 0
1480 0 10 0 0
1490 0 16 0 0
1500 0 14 0 0
1510 0 9 0 0
1520 0 10 0 0
1530 0 12 0 0
1540 0 7 0 0
1550 0 9 0 0
1560 0 4 4 0
1570 0 0 0 0
1580 0 5 0 0
1590 0 7 7 0
1600 0 11 0 0
1610 0 11 0 0
1620 0 13 0 0
1630 0 2 0 0
1640 0 1 0 0
1650 0 0 0 0
1660 0 0 0 0
1670 0 4 0 0
1680 0 10 0 0
1690 0 12 0 0
1700 0 23 0 1
1710 0 10 0 0
1720 0 32 0 0
1730 0 33 0 0
1740 0 2 0 0
1750 0 0 0 0
1760 0 2 0 0
1770 0 16 0 4
1780 0 10 0 0
1790 0 0 0 0
1800 0 0 0 0
1810 0 3 0 0
1820 0 0 0 0
1830 0 1 0 0
1840 0 0 0 0
1850 0 0 0 0
1860 0 6 0 0
1870 0 13 0 0
1880 0 4 0 0
1890 0 31 0 0
1900 0 17 0 0
1910 0 17 0 0
1920 0 13 0 0
1930 0 22 0 0
1940 0 18 0 0
1950 0 15 0 0
1960 0 16 0 7
1970 0 30 0 0
1980 0 40 3 0
1990 0 44 0 1
2000 0 17 0 4
2010 0 1 0 25
2020 0 1 2 4
2030 0 46 0 0
2040 0 26 0 0
2050 0 11 0 0
2060 0 24 0 2
2070 0 19 0 0
2080 0 10 0 0
2090 0 30 0 0
2100 0 17 0 3
2110 0 8 0 0
2120 0 4 2 0
2130 0 16 4 0
2140 0 13 0 0
2150 0 2 8 0
2160 0 3 7 0
2170 0 20 0 0
2180 0 10 0 0
2190 0 11 0 0
2200 0 39 0 0
2210 0 50 0 0
2220 0 44 0 0
2230 0 60 4 0
2240 0 42 0 0
2250 0 49 5 0
2260 0 51 0 0
2270 0 66 0 0
2280 0 42 1 0
2290 0 29 0 0
2300 0 33 0 0
2310 0 61 0 0
2320 0 78 0 0
2330 0 57 0 0
2340 0 70 0 0
2350 0 63 1 0
2360 0 98 0 0
2370 0 26 0 0
2380 0 50 0 0
2390 0 41 4 0
2400 0 30 0 0
2410 0 54 0 0
2420 0 65 0 0
2430 0 51 0 0
2440 0 64 0 0
2450 0 48 0 3
2460 0 55 0 32
2470 0 36 0 29
2480 0 61 0 13
2490 0 57 0 6
2500 0 54 0 5
2510 0 87 0 29
2520 0 61 4 0
2530 0 69 0 0
2540 0 73 9 0
2550 0 69 7 0
2560 0 64 0 0
2570 0 58 0 0
2580 0 48 12 0
2590 0 61 1 0
2600 0 83 0 0
2610 0 56 0 0
2620 0 44 1 0
2630 0 52 8 0
2640 0 61 4 0
2650 0 58 1 0
2660 0 85 11 0
2670 0 59 0 0
2680 0 57 0 0
2690 0 52 0 0
2700 0 70 0 0
2710 0 64 5 0
2720 0 60 5 0
2730 0 42 24 0
2740 0 69 8 0
2750 0 62 10 0
2760 0 88 13 0
2770 0 61 11 0
2780 0 32 4 0
2790 0 78 0 0
2800 0 63 4 0
2810 0 79 4 0
2820 0 78 0 0
2830 0 70 0 0
2840 0 67 3 0
2850 0 55 1 0
2860 0 58 6 0
2870 0 77 4 0
2880 0 88 7 0
2890 0 65 10 0
2900 0 61 0 0
2910 0 61 4 0
2920 0 51 7 0
2930 0 13 3 0
2940 0 38 0 0
2950 0 39 13 0
2960 0 39 0 0
2970 0 28 12 0
2980 0 12 0 0
2990 0 11 6 0
3000 0 13 3 0
3010 0 7 0 0
3020 0 0 31 0
3030 0 0 2 0
3040 0 0 8 0
3050 0 0 38 0
3060 0 0 55 0
3070 0 0 64 0
3080 9 0 86 0
3090 10 0 66 0
3100 5 0 63 0
3110 0 1 69 0
3120 7 0 80 0
3130 8 0 73 0
3140 0 0 76 0
3150 0 0 74 0
3160 0 0 58 0
3170 0 0 59 0
3180 0 0 63 0
3190 0 0 82 0
3200 0 0 75 0
3210 0 0 85 0
3220 0 0 62 0
3230 0 4 83 0
3240 0 22 90 0
3250 0 22 63 0
3260 0 25 52 0
3270 0 28 69 0
3280 0 27 41 0
3290 0 23 8 0
3300 0 26 0 0
3310 0 34 1 0
3320 0 16 0 0
3330 0 27 3 0
3340 0 23 0 0
3350 0 25 12 0
3360 0 22 6 0
3370 0 11 1 0
3380 0 10 2 0
3390 0 19 10 0
3400 0 0 19 0
3410 0 12 14 0
3420 0 14 12 0
3430 0 15 16 0
3440 0 14 0 0
3450 0 12 6 0
3460 0 13 21 0
3470 0 14 18 0
3480 0 20 0 0
3490 0 15 13 0
3500 0 27 6 0
3510 0 34 0 0
3520 0 19 1 0
3530 0 35 0 0
3540 0 32 10 0
3550 0 27 48 0
3560 0 26 4 0
3570 0 26 0 0
3580 0 39 4 0
3590 0 25 2 0
3600 0 21 10 0
3610 0 34 3 0
3620 0 16 2 0
3630 0 23 2 0
3640 0 14 1 0
3650 0 23 0 0
3660 0 9 0 0
3670 0 12 0 0
3680 0 11 9 0
3690 0 13 0 0
3700 0 15 0 0
3710 0 14 0 0
3720 0 16 0 0
3730 0 10 0 0
3740 0 17 0 0
3750 0 15 4 0
3760 0 3 2 0
3770 0 8 3 0
3780 0 21 0 0
3790 0 49 0 0
3800 0 52 0 0
3810 0 41 0 0
3820 0 47 0 0
3830 0 29 0 0
3840 0 39 3 0
3850 0 29 13 0
3860 0 26 4 0
3870 0 5 0 0
3880 0 11 0 0
3890 0 12 0 0
3900 0 29 0 3
3910 0 29 0 0
3920 0 26 0 3
3930 0 26 0 8
3940 0 23 0 1
3950 0 18 0 0
3960 0 33 0 0
3970 0 12 0 0
3980 0 20 0 0
3990 0 39 0 9
4000 0 9 0 6
4010 0 18 0 7
4020 0 27 0 4
4030 0 31 1 0
4040 0 29 0 0
4050 0 28 0 0
4060 0 29 0 0
4070 0 27 0 0
4080 0 32 7 0
4090 0 38 5 0
4100 0 20 0 0
4110 0 26 1 0
4120 0 22 0 0
4130 0 36 0 0
4140 0 21 0 0
4150 0 35 0 0
4160 0 19 12 0
4170 0 3 0 0
4180 0 2 0 0
4190 0 1 9 0
4200 0 10 44 0
4210 0 22 43 0
4220 0 23 38 0
4230 0 35 44 0
4240 0 25 52 0
4250 0 18 54 0
4260 0 18 48 0
4270 0 15 17 0
4280 0 26 24 0
4290 0 41 40 0
4300 0 47 27 0
4310 0 28 36 0
4320 0 32 36 0
4330 0 28 21 0
4340 0 16 31 0
4350 0 28 16 0
4360 0 14 19 0
4370 0 32 22 0
4380 0 27 21 0
4390 0 25 20 0
4400 0 20 29 0
4410 0 9 30 0
4420 0 8 25 0
4430 0 18 17 0
4440 0 12 30 0
4450 0 2 28 0
4460 0 8 26 0
4470 0 6 21 0
4480 0 0 22 0
4490 0 0 1 0
4500 0 0 0 0
4510 0 0 0 0
4520 0 0 0 0
4530 0 0 20 0
4540 0 0 11 0
4550 0 0 8 0
4560 0 13 15 0
4570 0 0 22 0
4580 0 19 20 0
4590 0 7 10 0
4600 0 9 1 0
4610 0 0 15 0
4620 0 0 8 0
4630 0 0 10 0
4640 0 4 82 0
4650 0 10 39 0
4660 0 6 47 0
4670 0 2 14 0
4680 0 5 21 0
4690 0 0 5 0
4700 0 0 5 0
4710 0 0 6 0
4720 0 9 3 0
4730 0 0 2 4
4740 0 3 4 2
4750 0 3 0 23
4760 0 0 0 0
4770 0 1 6 9
4780 0 0 0 6
4790 0 4 4 6
4800 0 0 5 0
4810 0 25 0 4
4820 0 36 18 7
4830 0 34 0 7
4840 0 17 4 3
4850 0 67 1 8
4860 0 70 0 9
4870 0 55 0 13
4880 0 62 0 7
4890 0 73 4 0
4900 0 74 4 16
4910 0 73 4 4
4920 0 57 1 15
4930 0 79 0 7
4940 0 53 0 8
4950 0 59 6 7
4960 0 83 4 4
4970 0 69 0 2
4980 0 47 0 5
4990 0 65 4 3
5000 0 51 9 4
5010 0 36 2 10
5020 0 63 6 3
5030 0 80 4 5
5040 0 65 4 13
5050 0 58 1 9
5060 0 70 4 13
5070 0 65 8 5
5080 0 78 1 5
5090 0 69 5 5
5100 0 68 0 1
5110 0 62 0 2
5120 0 74 0 0
5130 0 73 7 7
5140 0 58 1 12
5150 0 68 4 8
5160 0 60 4 15
5170 0 60 1 6
5180 0 55 4 3
5190 0 40 3 4
5200 0 53 5 9
5210 0 47 4 0
5220 0 48 4 7
5230 0 60 5 11
5240 0 57 4 6
5250 0 79 4 15
5260 0 69 3 6
5270 0 80 0 9
5280 0 62 2 8
5290 0 57 4 4
5300 0 50 4 35
